date,open,high,low,close,volume,assetCode,assetName,sector,industry,year
2013-07-02,58.56,60.22,58.5,59.78,117466300,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-03,60.12,60.44,59.62,60.12,60232200,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-05,60.06,60.47,59.34,59.62,68506200,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-08,60.03,60.16,58.66,59.28,74534600,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-09,59.1,60.5,58.62,60.34,88146100,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-10,59.94,60.7,59.75,60.1,70351400,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-11,60.4,61.2,60.16,61.03,81573100,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-12,61.1,61.4,60.5,60.94,69890800,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-15,60.72,61.62,60.7,61.06,60479300,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-16,60.94,61.53,60.6,61.47,54134500,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-17,61.38,61.75,61.2,61.47,49747600,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-18,61.9,62.12,61.53,61.7,54719700,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-19,61.88,62.0,60.62,60.72,67180400,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-22,61.34,61.4,60.78,60.9,51949100,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-23,60.84,61.0,59.8,59.84,92348900,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-24,62.72,63.5,62.2,62.94,147984200,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-25,62.97,63.06,62.25,62.66,57373400,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-26,62.2,63.0,62.06,63.0,50038100,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-29,62.97,64.3,62.88,63.97,62014400,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-30,64.25,65.3,64.2,64.75,77355600,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-07-31,65.0,65.3,64.2,64.6,80739400,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-08-01,65.1,65.25,64.75,65.25,51562700,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-08-02,65.44,66.1,65.25,66.06,68695900,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-08-05,66.4,67.25,66.0,67.06,79713900,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-08-06,66.9,67.44,66.0,66.44,83714400,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-08-07,66.25,66.7,65.94,66.44,74714500,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
2013-08-08,66.25,66.3,65.44,65.9,63944300,AAPL,Apple Inc.,Technology,Computer Manufacturing,2013
